Purity of drugs, 2019-2023;;;;;;;;;;;
Region;SubRegion;Country/Territory;LevelOfSale;DrugGroup;Drug;Specify;Year;Typical;Minimum;Maximum;Measurement
Africa;West and Central Africa;Ghana;Wholesale;Amphetamine-type stimulants;Amphetamine tablets;;2023;56,32;;;mg/tablet
Africa;West and Central Africa;Ghana;Wholesale;Amphetamine-type stimulants;Methamphetamine tablets;;2023;46,01;29,1;66,27;% (percent)
Africa;West and Central Africa;Ghana;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2023;1,61;0,51;3,05;% (percent)
Africa;West and Central Africa;Ghana;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2023;49,17;36,2;68,26;% (percent)
Africa;West and Central Africa;Ghana;Wholesale;Opioids;Heroin;;2023;16,62;9,1;34,27;% (percent)
Americas;Central America;Costa Rica;Retail;Cocaine-type;Cocaine salts;;2019;84,77;79,09;89,35;% (percent)
Americas;Central America;El Salvador;Wholesale;Cocaine-type drugs;“Crack” cocaine;;2020;;15,1;96,65;% (percent)
Americas;Central America;El Salvador;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2020;;1;97,5;% (percent)
Americas;Central America;El Salvador;Retail;Opioids;Codeine;;2021;;61,2;94,5;% (percent)
Americas;Central America;El Salvador;Retail;Opioids;Opioids;;2021;;61,2;94,5;% (percent)
Americas;Central America;El Salvador;Wholesale;Cocaine-type drugs;“Crack” cocaine;;2021;;10;98,5;% (percent)
Americas;Central America;El Salvador;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2021;;5,5;95,2;% (percent)
Americas;Central America;El Salvador;Wholesale;Cocaine-type drugs;Cocaine-type drugs;;2021;;5,5;98,5;% (percent)
Americas;Central America;El Salvador;Retail;Cocaine-type drugs;“Crack” cocaine;;2022;65;11,4;95,4;% (percent)
Americas;Central America;El Salvador;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2022;80;11,3;95,8;% (percent)
Americas;Central America;El Salvador;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2022;85;62,2;92,2;% (percent)
Americas;Central America;El Salvador;Retail;Cocaine-type drugs;“Crack” cocaine;;2023;;9,9;97,6;% (percent)
Americas;Central America;El Salvador;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2023;;9,8;98,6;% (percent)
Americas;Central America;El Salvador;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2023;80;79,6;89;% (percent)
Americas;Central America;El Salvador;Retail;Cocaine-type;Cocaine salts;;2019;;4,82;93,5;% (percent)
Americas;Central America;El Salvador;Retail;Cocaine-type;Crack;;2019;;0,28;97,1;% (percent)
Americas;Central America;El Salvador;Wholesale;Cocaine-type;Cocaine salts;;2019;60;50;70;% (percent)
Americas;Central America;El Salvador;Wholesale;Cocaine-type;Crack;;2019;35;30;45;% (percent)
Americas;Central America;El Salvador;Wholesale;Opioids;Heroin;;2019;;92,48;97,02;% (percent)
Americas;Central America;Guatemala;Retail;Cocaine-type;Cocaine salts;;2019;40;25;45;% (percent)
Americas;Central America;Guatemala;Retail;Opioids;Heroin;;2019;50;35;50;% (percent)
Americas;Central America;Guatemala;Wholesale;Cocaine-type;Cocaine salts;;2019;80;65;85;% (percent)
Americas;Central America;Guatemala;Wholesale;Opioids;Heroin;;2019;50;35;55;% (percent)
Americas;Central America;Panama;Wholesale;“Ecstasy”-type substances;MDMA;;2020;95;95;100;% (percent)
Americas;Central America;Panama;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2020;95;95;100;% (percent)
Americas;Central America;Panama;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2020;95;95;100;% (percent)
Americas;Central America;Panama;Wholesale;Cannabis-type drugs;Cannabis/hashish oil;;2020;95;95;100;% (percent)
Americas;Central America;Panama;Wholesale;Cocaine-type drugs;“Crack” cocaine;;2020;95;90;100;% (percent)
Americas;Central America;Panama;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2020;95;95;100;% (percent)
Americas;Central America;Panama;Wholesale;Hallucinogens;Lysergic acid diethylamide (LSD);;2020;95;95;100;% (percent)
Americas;Central America;Panama;Wholesale;Opioids;Heroin;;2020;95;95;100;% (percent)
Americas;Central America;Panama;Wholesale;Opioids;Opium;;2020;95;95;100;% (percent)
Americas;North America;Mexico;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2020;85,44;2,5;96,7;% (percent)
Americas;North America;Mexico;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2020;71,84;1,1;99,9;% (percent)
Americas;North America;Mexico;Wholesale;Opioids;Fentanyl;;2020;19,35;0,28;85,5;% (percent)
Americas;North America;Mexico;Wholesale;Opioids;Heroin;;2020;49,3;2,1;92,6;% (percent)
Americas;North America;Mexico;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2021;89,42;0,4;100;% (percent)
Americas;North America;Mexico;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2021;48,64;0,6;96,4;% (percent)
Americas;North America;Mexico;Wholesale;Opioids;Fentanyl;;2021;19,44;0,28;93,1;% (percent)
Americas;North America;Mexico;Wholesale;Opioids;Heroin;;2021;46,89;2,3;93;% (percent)
Americas;North America;Mexico;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2022;88,27;;;% (percent)
Americas;North America;Mexico;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2022;56,6;;;% (percent)
Americas;North America;Mexico;Wholesale;Opioids;Fentanyl;;2022;20,97;;;% (percent)
Americas;North America;Mexico;Wholesale;Opioids;Heroin;;2022;42,14;;;% (percent)
Americas;North America;Mexico;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2023;90,7;;;% (percent)
Americas;North America;Mexico;Wholesale;Amphetamine-type stimulants;Methamphetamine tablets;;2023;61,95;;;mg/tablet
Americas;North America;Mexico;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2023;60,51;;;% (percent)
Americas;North America;Mexico;Wholesale;Opioids;Fentanyl;;2023;1,51;;;mg/tablet
Americas;North America;Mexico;Wholesale;Opioids;Heroin;;2023;36,67;;;% (percent)
Americas;North America;Mexico;Wholesale;ATS;Methamphetamine;;2019;74,72;33,2;100;% (percent)
Americas;North America;Mexico;Wholesale;Cocaine-type;Coca paste/cocaine base;Cocaine base;2019;34,44;15,8;88,3;% (percent)
Americas;North America;Mexico;Wholesale;Cocaine-type;Cocaine salts;;2019;57,95;1,33;96,6;% (percent)
Americas;North America;Mexico;Wholesale;Opioids;Heroin;Beige;2019;61,46;6;80,7;% (percent)
Americas;North America;Mexico;Wholesale;Opioids;Heroin;Black tar heroin;2019;35,1;1,8;74,4;% (percent)
Americas;North America;Mexico;Wholesale;Opioids;Pharmaceutical opioids;Fentanyl;2019;10,27;0,28;51,2;% (percent)
Americas;North America;United States of America;Retail;Amphetamine-type stimulants;Methamphetamine powder;;2021;99,2;;;% (percent)
Americas;North America;United States of America;Retail;Cannabis-type drugs;Cannabis-type drugs;;2021;15;;;% (percent)
Americas;North America;United States of America;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2021;82,5;;;% (percent)
Americas;North America;United States of America;Retail;Opioids;Fentanyl;;2021;9,1;;;% (percent)
Americas;North America;United States of America;Retail;Opioids;Heroin;;2021;61;;;% (percent)
Americas;North America;United States of America;Retail;Opioids;Fentanyl;;2021;11,9;;;% (percent)
Americas;North America;United States of America;Wholesale;Cannabis-type drugs;Cannabis-type drugs;;2021;15,34;;;% (percent)
Americas;North America;United States of America;Wholesale;Opioids;Fentanyl;;2021;15,9;;;% (percent)
Americas;North America;United States of America;Wholesale;Opioids;Heroin;;2021;46;;;% (percent)
Americas;North America;United States of America;Retail;Opioids;Heroin;Black tar heroin;2019;33;;;% (percent)
Americas;North America;United States of America;Retail;Opioids;Heroin;White;2019;50;;;% (percent)
Americas;North America;United States of America;Wholesale;ATS;Methamphetamine;;2019;97;;;% (percent)
Americas;North America;United States of America;Wholesale;Cannabis-type;Marijuana (herb);;2019;16;;;% (percent)
Americas;North America;United States of America;Wholesale;Cocaine-type;Cocaine salts;;2019;83;;;% (percent)
Americas;North America;United States of America;Wholesale;Opioids;Heroin;Black tar heroin;2019;51;;;% (percent)
Americas;North America;United States of America;Wholesale;Opioids;Heroin;White;2019;83;;;% (percent)
Americas;South America;Argentina;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2021;50,6;0,12;99;% (percent)
Americas;South America;Argentina;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2021;59,9;14;98;% (percent)
Americas;South America;Argentina;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2022;54,65;0,1;99,6;% (percent)
Americas;South America;Argentina;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2022;66,79;0,1;99,54;% (percent)
Americas;South America;Argentina;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2023;67,95;10,02;90;% (percent)
Americas;South America;Argentina;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2023;75,89;10,36;89,93;% (percent)
Americas;South America;Bolivia (Plurinational State of);Retail;Cocaine-type drugs;Cocaine hydrochloride;;2021;;20;30;% (percent)
Americas;South America;Bolivia (Plurinational State of);Wholesale;“Ecstasy”-type substances;MDMA;;2021;;30;45;% (percent)
Americas;South America;Bolivia (Plurinational State of);Wholesale;Amphetamine-type stimulants;Amphetamine tablets;;2021;;10;15;mg/tablet
Americas;South America;Bolivia (Plurinational State of);Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2021;;;79;% (percent)
Americas;South America;Bolivia (Plurinational State of);Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2021;;10;15;% (percent)
Americas;South America;Bolivia (Plurinational State of);Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2021;;89;95;% (percent)
Americas;South America;Bolivia (Plurinational State of);Wholesale;Sedatives and tranquilizers (please specify);Benzodiazepines;;2021;;0,25;2;mg/tablet
Americas;South America;Bolivia (Plurinational State of);Wholesale;“Ecstasy”-type substances;MDMA;;2022;;30;45;% (percent)
Americas;South America;Bolivia (Plurinational State of);Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2022;;;79;% (percent)
Americas;South America;Bolivia (Plurinational State of);Wholesale;Cannabis-type drugs;Cannabis-type drugs;;2022;20;15;;% (percent)
Americas;South America;Bolivia (Plurinational State of);Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2022;;89;95;% (percent)
Americas;South America;Bolivia (Plurinational State of);Wholesale;Sedatives and tranquilizers (please specify);Benzodiazepines;;2022;;0,25;2;mg/tablet
Americas;South America;Bolivia (Plurinational State of);Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2023;;10;15;% (percent)
Americas;South America;Bolivia (Plurinational State of);Wholesale;Cocaine-type drugs;“Crack” cocaine;;2023;;72;85;% (percent)
Americas;South America;Bolivia (Plurinational State of);Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2023;;79;95;% (percent)
Americas;South America;Chile;Wholesale;“Ecstasy”-type substances;MDMA;;2020;36,26;;;
Americas;South America;Chile;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2020;10,9;;;
Americas;South America;Chile;Wholesale;Cocaine-type drugs;“Crack” cocaine;;2020;41,3;;;
Americas;South America;Chile;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2020;;37,2;55;
Americas;South America;Chile;Wholesale;“Ecstasy”-type substances;MDMA;;2021;13,7;0,7;43,5;% (percent)
Americas;South America;Chile;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2021;14,7;3;51;% (percent)
Americas;South America;Chile;Wholesale;“Ecstasy”-type substances;MDMA;;2023;13,7;;;
Americas;South America;Chile;Wholesale;Amphetamine-type stimulants;Amphetamine tablets;;2023;10;0,7;43,5;% (percent)
Americas;South America;Chile;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2023;14,7;3;51;% (percent)
Americas;South America;Chile;Wholesale;Cannabis-type drugs;Cannabis resin (hashish);;2023;602;61;1311;mg/tablet
Americas;South America;Chile;Wholesale;Cocaine-type drugs;“Crack” cocaine;;2023;58,63;0,1;99;% (percent)
Americas;South America;Chile;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2023;48,82;0,1;100;% (percent)
Americas;South America;Chile;Wholesale;Opioids;Codeine;;2023;6;;;mg/tablet
Americas;South America;Chile;Wholesale;Opioids;Fentanyl;;2023;0,05;;;mg/tablet
Americas;South America;Chile;Wholesale;Opioids;Tramadol;;2023;50;;;mg/tablet
Americas;South America;Chile;Wholesale;Sedatives and tranquilizers (please specify);Benzodiazepines;;2023;0,5;;;
Americas;South America;Colombia;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2021;71,83;;;% (percent)
Americas;South America;Paraguay;Retail;Cannabis-type drugs;Cannabis herb (marijuana);;2020;3;1;5;% (percent)
