anno,fascia_eta,decessi_stimati
2008,>=70,5490.138754409147
2009,<20,2760.204906422915
2009,20-29,18497.27228870049
2009,30-49,42198.83793163566
2009,50-69,18227.988278282504
2009,>=70,5579.290481912214
2010,<20,2621.3845371605908
2010,20-29,17997.041017859614
2010,30-49,42219.34626542748
2010,50-69,19099.41602717655
2010,>=70,5758.216142583121
2011,<20,2517.855338200081
2011,20-29,17901.057743338828
2011,30-49,42741.70592850659
2011,50-69,20042.036411388504
2011,>=70,5877.929287688156
2012,<20,2438.937291604118
2012,20-29,17911.80276579279
2012,30-49,43535.80982511084
2012,50-69,21124.24076710537
2012,>=70,6093.5919564449405
2013,<20,2396.638223402449
2013,20-29,18043.069380661727
2013,30-49,44948.657159196635
2013,50-69,22446.50960720325
2013,>=70,6202.784187222911
2014,<20,2394.9564917134235
2014,20-29,18442.199699364493
2014,30-49,46856.147934622306
2014,50-69,24037.33908898863
2014,>=70,6316.029497098697
2015,<20,2420.49518083334
2015,20-29,19103.481216638684
2015,30-49,49586.28611999472
2015,50-69,25953.02068807946
2015,>=70,6620.830961457935
2016,<20,2494.439256007391
2016,20-29,20312.77241511112
2016,30-49,53613.612478685696
2016,50-69,27980.903919463897
2016,>=70,6785.989117035684
2017,<20,2526.222180541856
2017,20-29,21034.72022715539
2017,30-49,57289.00164270795
2017,50-69,30106.148011496218
2017,>=70,7173.33653495838
2018,<20,2566.2273607359493
2018,20-29,21021.311041357243
2018,30-49,59966.103333615676
2018,50-69,32087.28548951363
2018,>=70,7497.632675089328
2019,<20,2728.076486393428
2019,20-29,21805.585219182245
2019,30-49,64228.84138220221
2019,50-69,34636.44001160772
2019,>=70,7879.478451850832
2020,<20,2971.2512666384287
2020,20-29,24200.473118151516
2020,30-49,72597.76903643229
2020,50-69,38391.79455607734
2020,>=70,8426.431660265947
2021,<20,3178.9824591389483
2021,20-29,25435.987579060697
2021,30-49,80968.07485063802
2021,50-69,42931.17162691298
2021,>=70,9003.078355555854
2022,<20,3349.085537993743
2022,20-29,25789.680798133042
2022,30-49,85643.8760424208
2022,50-69,46213.19260546747
2022,>=70,9859.739937101456
2023,<20,3455.477833992749
2023,20-29,25264.958864628996
2023,30-49,86935.0768110666
2023,50-69,46610.17347684065
2023,>=70,10242.25966052446
