Prices of drugs, 2019-2023;;;;;;;;;;;
Region;SubRegion;Country/Territory;DrugGroup;Drug;Specify;LevelOfSale;Year;Typical_USD;Minimum_USD;Maximum_USD;Unit
Europe;Western and Central Europe;Latvia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;;$3.558,72;$5.931,20;Kilograms
Europe;Western and Central Europe;Latvia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;;$3.688,09;$5.268,70;Kilograms
Europe;Western and Central Europe;Finland;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;;$12.585,81;$18.306,64;Kilograms
Oceania;Australia and New Zealand;Australia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;;$55.248,62;$69.060,77;Kilograms
Asia;Near and Middle East/ South-West Asia;Saudi Arabia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$0,20;;;Grams
Europe;Western and Central Europe;Lithuania;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$4,21;$2,11;$7,38;Grams
Europe;Western and Central Europe;Lithuania;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$9,19;$5,41;$12,97;Grams
Europe;Western and Central Europe;Poland;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$14,61;$6,74;$16,85;Grams
Europe;Western and Central Europe;Latvia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$17,16;$17,16;$28,60;Grams
Europe;Western and Central Europe;Gibraltar;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$20,63;$20,63;$27,51;Grams
Europe;South-Eastern Europe;Montenegro;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$21,62;$10,81;$32,43;Grams
Africa;East Africa;Kenya;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$28,16;;;Grams
Europe;Eastern Europe;Belarus;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$40,47;$32,38;$48,56;Grams
Europe;Western and Central Europe;Malta;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$57,96;;;Grams
Asia;East and South-East Asia;China;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$66,58;;;Grams
Asia;Central Asia and Transcaucasia;Armenia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$139,31;$99,51;$159,21;Grams
Asia;Central Asia and Transcaucasia;Armenia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$150,14;$138,59;$161,69;Grams
Asia;Central Asia and Transcaucasia;Armenia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$184,11;;;Grams
Africa;East Africa;Mauritius;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$332,99;$0,02;;Grams
Asia;Near and Middle East/ South-West Asia;Pakistan;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$1.122,60;$1.041,77;$1.203,43;Kilograms
