population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Intera Popolazione,5,Prevalenza,6,Cina,1,Maschi,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1991,0.0104626177965163,0.0127321425778016,0.008782132361126
1,Intera Popolazione,5,Prevalenza,6,Cina,2,Femmine,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1991,0.0091893953229827,0.0110328944833799,0.007795206309074
1,Intera Popolazione,5,Prevalenza,192,Africa Subsahariana Meridionale,1,Maschi,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1991,0.0085077571880892,0.010487469593953,0.0068597033051855
1,Intera Popolazione,5,Prevalenza,192,Africa Subsahariana Meridionale,2,Femmine,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1991,0.0054543432850093,0.0063305517361253,0.0047064516761401
1,Intera Popolazione,5,Prevalenza,130,Messico,1,Maschi,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1990,0.0057237345724226,0.0071250590113427,0.0045734574160953
1,Intera Popolazione,5,Prevalenza,130,Messico,2,Femmine,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1990,0.004661878767951,0.0054492332621727,0.0038144303037511
1,Intera Popolazione,5,Prevalenza,167,Africa Subsahariana Centrale,1,Maschi,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1991,0.0032019036116843,0.0043334247068178,0.0023241812393961
1,Intera Popolazione,5,Prevalenza,167,Africa Subsahariana Centrale,2,Femmine,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1991,0.0019541317250418,0.0024020450364595,0.0015691060692848
1,Intera Popolazione,5,Prevalenza,199,Africa Subsahariana Occidentale,1,Maschi,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1990,0.0023306919787467,0.0029370218514763,0.0018213970643772
1,Intera Popolazione,5,Prevalenza,199,Africa Subsahariana Occidentale,2,Femmine,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1990,0.0017996943583666,0.002181490004984,0.0014934659844793
1,Intera Popolazione,5,Prevalenza,102,Stati Uniti d'America,1,Maschi,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1991,0.0272453762533314,0.0317783832969124,0.0229851581708795
1,Intera Popolazione,5,Prevalenza,102,Stati Uniti d'America,2,Femmine,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1991,0.0154511132216047,0.0180160926495312,0.012883066619535
1,Intera Popolazione,5,Prevalenza,142,Iran (Repubblica Islamica dell'),1,Maschi,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1990,0.0066714313779147,0.0075665468963028,0.0057822780100777
1,Intera Popolazione,5,Prevalenza,142,Iran (Repubblica Islamica dell'),2,Femmine,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1990,0.0036363668257371,0.0042039425128477,0.0031319367066513
1,Intera Popolazione,5,Prevalenza,192,Africa Subsahariana Meridionale,1,Maschi,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1990,0.0083907797383692,0.0103534406414261,0.006760234822206
1,Intera Popolazione,5,Prevalenza,192,Africa Subsahariana Meridionale,2,Femmine,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1990,0.0053840216747963,0.0062359274538922,0.0046405313211434
1,Intera Popolazione,5,Prevalenza,130,Messico,1,Maschi,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1991,0.005781674031822,0.0071557634623143,0.0046898833084615
1,Intera Popolazione,5,Prevalenza,130,Messico,2,Femmine,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1991,0.0046988615684018,0.005477929268824,0.003865306814174
1,Intera Popolazione,5,Prevalenza,101,Canada,1,Maschi,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1991,0.0283056417351291,0.0320588814060345,0.0248689917647078
1,Intera Popolazione,5,Prevalenza,101,Canada,2,Femmine,22,Tutte le età,561,Disturbi da consumo di stupefacenti,2,Percentuale,1991,0.0197302353428316,0.0218601086810624,0.0176955759386229
